scenario_id,team,group,elo,knockout_initial_elo,knockout_initial_elos_source,reach_r32,reach_r32_ci_low,reach_r32_ci_high,reach_r32_count,reach_r16,reach_r16_ci_low,reach_r16_ci_high,reach_r16_count,reach_qf,reach_qf_ci_low,reach_qf_ci_high,reach_qf_count,reach_sf,reach_sf_ci_low,reach_sf_ci_high,reach_sf_count,reach_final,reach_final_ci_low,reach_final_ci_high,reach_final_count,runner_up,runner_up_ci_low,runner_up_ci_high,runner_up_count,third_place,third_place_ci_low,third_place_ci_high,third_place_count,champion,champion_ci_low,champion_ci_high,champion_count
C01,Turkey,D,1931.0,1916.5834056683302,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.58013,0.5770680587603393,0.5831857851542382,58013,0.28472,0.2819312939846841,0.2875252451650697,28472,0.12606,0.12401714865822444,0.12813157974041417,12606,0.06262,0.06113510761086094,0.06413849464350221,6262,0.03222,0.03114338420421124,0.03333255356739695,3222,0.03037,0.02932431919828305,0.031451760701841705,3037,0.0304,0.02935380942454448,0.03148226817079352,3040
C01,Morocco,C,1903.0,1891.3091548176953,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.48401,0.4809132835919525,0.487107944859388,48401,0.26641,0.263679014065767,0.26915893177216954,26641,0.12554,0.12350080505402389,0.12760796329425184,12554,0.06124,0.05977070443550545,0.06274300383904843,6124,0.03259,0.03150731538992579,0.0337085939559791,3259,0.03171,0.030641812581511146,0.03281416437147189,3171,0.02865,0.027634020358601772,0.029702191682630264,2865
C01,Norway,I,1927.0,1923.7627895874107,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.50896,0.5058612377708486,0.5120580738661739,50896,0.27565,0.2728891580711496,0.27842807789246654,27565,0.1194,0.11740486675574029,0.12142437330555796,11940,0.05765,0.056222299053629445,0.05911168502707278,5765,0.0291,0.02807615775301666,0.030160019716414056,2910,0.02971,0.02867560471614073,0.03078052588929263,2971,0.02855,0.02753577672420206,0.029600442999652494,2855
C01,Senegal,I,1887.0,1886.8981081422726,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.51012,0.5070213304067953,0.5132178921118061,51012,0.23487,0.23225279532237583,0.23750757361470246,23487,0.12105,0.11904286233527943,0.12308625096274729,12105,0.06001,0.058554786159595466,0.06149901661121537,6001,0.03229,0.031212233116095296,0.03340369927767713,3229,0.03089,0.02983552182669777,0.031980518123789894,3089,0.02772,0.026720485599809468,0.028755797889811974,2772
C01,Uruguay,H,1877.0,1871.7715102062837,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.37871,0.37570830013104445,0.381721018121806,37871,0.21267,0.21014488466120537,0.2152171898180716,21267,0.11258,0.11063582303735567,0.1145539409787982,11258,0.05569,0.054285665196870274,0.05712846946323328,5569,0.02841,0.0273982412728032,0.02945798920672288,2841,0.02854,0.027525952544891083,0.029590267947225718,2854,0.02728,0.02628838021999964,0.028307937073160875,2728
C01,Germany,E,1933.0,1918.4091825678777,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.48988,0.4867821078881939,0.49297866959320485,48988,0.21937,0.216815972094854,0.2219455876487144,21937,0.11486,0.11289854248835668,0.11685104636400381,11486,0.05541,0.054009042939807385,0.05684511323163922,5541,0.02847,0.027457184229969126,0.02951904163998344,2847,0.02887,0.0278501680729409,0.029926027066521598,2887,0.02694,0.02595452803269574,0.02796181538138133,2694
C01,Belgium,G,1932.0,1911.0017751040843,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.49104,0.48794192613382614,0.49413876222915143,49104,0.26096,0.2582473386790731,0.2636910258617907,26096,0.11447,0.11251148057757651,0.11645813823701179,11447,0.05552,0.05411771476378484,0.05695643295677699,5552,0.02883,0.027810867295672864,0.02988533091683865,2883,0.02906,0.028036853955135135,0.03011932658734458,2906,0.02669,0.02570907535006139,0.027707287270571968,2669
C01,United States,D,1737.0,1741.376502219571,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.5717,0.5686303567787159,0.5747641347809398,57170,0.23018,0.22758137973265669,0.2327993495194176,23018,0.11814,0.116154116961778,0.12015521990056392,11814,0.05729,0.05586655488113829,0.05874745685700499,5729,0.03075,0.029697882312867067,0.03183816839329212,3075,0.02971,0.02867560471614073,0.03078052588929263,2971,0.02654,0.025561814816557313,0.027554559328009823,2654
C01,Netherlands,F,1928.0,1912.8821426134325,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.40508,0.4020410820019607,0.40812621034333213,40508,0.20123,0.1987566184423078,0.20372633492898506,20123,0.1064,0.10450396517811096,0.10832627362411441,10640,0.0519,0.05054227041391666,0.05329215541758028,5190,0.02589,0.024923783700446504,0.02689264038116699,2589,0.02643,0.025453829087565747,0.027442553507886155,2643,0.02601,0.025041561939645206,0.027014852922821263,2601
C01,Croatia,L,1914.0,1901.8228394386638,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.47598,0.47288558487388715,0.4790762604920415,47598,0.19973,0.197263630891352,0.2022194377192786,19973,0.10372,0.10184546106719539,0.10562498362931347,10372,0.05057,0.049229098205330044,0.05194542980504635,5057,0.02568,0.024717685202502705,0.02667875501261808,2568,0.02578,0.024815825204882028,0.026780607327616238,2578,0.02489,0.02394251857435013,0.02587398233348853,2489
